Product Name,Price,Country
"Dimensionally Stable Anode",35.00,"Global"
"Dimethyl Carbonate",8.00,"Global"
"Dimming Driver",35.00,"Global"
"Directional Drilling",35.00,"Global"
"Dispersing Agent",8.00,"Global"
"Display Cable (DisplayPort/HDMI)",12.00,"China / USA / Japan"
"Display Driver IC",15.00,"Taiwan"
"Display Glass Substrate",12.00,"United States"
"Display Manufacturing Technicians",2.20,"South Korea"
"Display Panel (LCD/OLED)",150.00,"South Korea / China"
"Display Photolithography Equipment",18.00,"Japan"
"Displayport Mux",8.00,"Global"
"Distillation Equipment",95.00,"Switzerland"
"DNS Server",8000.00,"United States"
"DOCSIS Chip",15.00,"United States"
"Domain Management System",15.00,"USA"
"Domain Name Registration",12.00,"Various"
"Dome Die",8.00,"Global"
"Dome Fabric",8.00,"Global"
"Double-Sided Adhesive Tape",2.00,"USA / Japan / Germany"
"Dragline Excavation",15.00,"United States"
"Dragline Mining",12.00,"Global"
"Dram Buffer",8.00,"Global"
"DRAM Memory Chip",3.50,"South Korea"
"DRAM Module",45.00,"South Korea"
"Drawing Dies",8.00,"Global"
"Drawing Lubricant",8.00,"Global"
"Drill and Blast Operations",8.50,"Sweden"
"Dry Film Resist",35.00,"Global"
"Dry Room Protocols",8.00,"Global"
"Drying Oven",8.00,"Global"
"Dsp Core",8.00,"Global"
"Dual Cartridge Packaging",1.50,"Switzerland"
"Dwight Lloyd Sinter",35.00,"Global"
"Dye Solvent",6.00,"Global"
"Ecc Engine",8.00,"Global"
"ECC Memory",120.00,"South Korea"
"EDA Software (Electronic Design Automation)",30.00,"USA"
"Electric Arc Furnace",450.00,"Global"
"Electrical Distribution System",60.00,"France"
"Electrical Engineering Degree",2.50,"Taiwan"
"Electrical Linemen",2.50,"Taiwan"
"Electrical Power Generation",0.12,"USA"
"Electrical Safety Tester",8.00,"Taiwan"
"Electrical Steel Laminations",3.20,"USA/Japan"
"Electricity",0.12,"USA / USA / France"
"Electrochemistry Training",0.00,"Global"
"Electrode Stacking",8.00,"Global"
"Electrolyte Additives",8.00,"Global"
"Electrolyte Filling",8.00,"Global"
"Electrolytic Cobalt",2.50,"Taiwan"
"Electrolytic Copper Foil",8.00,"Japan"
"Electrolytic Recovery",2.50,"Taiwan"
"Electrolytic Refining",35.00,"Global"
"Electron Beam Lithography",8.00,"Global"
"Electronic Test Gear",8.00,"Global"
"Electronic Test Instruments",15.00,"United States"
"Electronics Assembly Labor",3.00,"China"
"Electronics Assembly Labor",220.00,"China / Taiwan"
"Electronics Factory",800000.00,"China / Taiwan / South Korea"
"Electroplating Chemistry",8.00,"Global"
"Electroplating Equipment",120.00,"Global"
"Electrorefining Cell",8.00,"Global"
"Electrostatic Chuck",8.00,"Global"
"Elemental Sulfur",0.15,"Russia / Saudi Arabia / Netherlands"
"Elemental Sulfur",0.15,"Saudi Arabia"
"Emulation Hardware",35.00,"Global"
"Emulsifiers",8.00,"Global"
"Enameled Copper Motor Wire",6.00,"Japan"
"Encryption Technology",12000.00,"France"
"Engineer Compensation Package",180000.00,"USA"
"Engineering Design Services",500000.00,"USA"
"Engineering Internship Programs",25000.00,"USA"
"Engineering Workstation",35.00,"Global"
"Enriched Uranium",5000.00,"France"
"Enterprise Data Storage Systems",250000.00,"USA"
"Enterprise Router",8000.00,"United States"
"Enterprise Router Hardware",25000.00,"USA"
"Environmental Test Chamber",25.00,"Japan"
"Epichlorohydrin",8.00,"Global"
"Epoxy Hardener",8.00,"Global"
"Epoxy Molding",8.00,"Global"
"Epoxy Molding Compound",1.50,"Japan / Germany"
"Epoxy Molding Compound",0.15,"Japan"
"Epoxy Resin",0.40,"USA / Belgium / Switzerland"
"Equipment Operation",45.00,"Global"
"Esd Additives",8.00,"Global"
"Etchant Chemistry",8.00,"Global"
"Ethernet PHY Chip",4.00,"United States"
"Ethernet Switch",2500.00,"United States, China"
"Ethyl Methyl Carbonate",8.00,"Global"
"Ethylene Carbonate",8.00,"Global"
"Ethylene Gas",15.00,"Global"
"EUV Lithography Machine",15.00,"Netherlands"
"Euv Source",8.00,"Global"
"Excavation",35.00,"Global"
"Expansion Turbine",8.00,"Global"
"Exposure System",45.00,"Global"
"Extrusion Die",8.00,"Global"
"Extrusion Press",8.00,"Global"
"F-Connector",0.50,"United States"
"Fab Automation",8.00,"Global"
"Fab Technicians",8.00,"Global"
"Fab Training",0.00,"Global"
"Factory Automation Software",20.00,"Germany"
"Factory Production Workers",3.00,"China"
"Fan Controller IC",1.00,"United States"
"Fan Housing",0.60,"Taiwan"
"Fan Impeller",35.00,"Global"
"Fastener Testing",3.00,"United States"
"Fasteners",8.00,"Global"
"Fastly Cdn",35.00,"Global"
"Ferrite Core",8.00,"Global"
"Ferrite Shield",35.00,"Global"
"Ffc Adhesive",35.00,"Global"
"Ffc Connectors",35.00,"Global"
"Fiber Cable",2.00,"United States"
"Fiber Optic Cable",25.00,"USA / Italy / Japan"
"Fiber Optic Connector",8.00,"United States"
"Fiber Polishing Machine",50000.00,"Japan"
"Fiberglass Cloth",35.00,"Global"
"Film Extrusion",4.00,"Global"
"Filter Press",155.00,"Austria"
"Fingerprint Sensor",6.00,"United States"
"Fire Suppression",75000.00,"United States"
"Firewall Appliance",12000.00,"United States"
"Firewall Systems",18000.00,"United States"
"Firmware Development",8.00,"Global"
"Firmware Programmer",85000.00,"USA / Germany"
"Flame Retardant",8.00,"Global"
"Flash Memory Module",1.50,"Taiwan"
"Flash Smelter",8.00,"Global"
"Flexibilizer",8.00,"Global"
"Flexible Flat Cable",2.50,"Japan"
"Flexible Printed Circuit",8.00,"Taiwan"
"Flexographic Printing Ink",3.00,"United States"
"Flotation Cells",180.00,"Finland"
"Flotation Chemicals",8.00,"Global"
"Flotation Equipment",45.00,"Global"
"Flotation Plant",35.00,"Global"
"Fluidized Bed Roaster",450.00,"Global"
"Fluorinated Lc",8.00,"Global"
"Fluorine Gas Production",450.00,"Belgium/USA"
"Fluorspar Ore (CaF₂)",0.50,"China / Mexico / Mongolia"
"Fluosilicic Acid",2.50,"Taiwan"
"Flux Concentrator",35.00,"Global"
"Flux Vehicle",8.00,"Global"
"Flying Probe",8.00,"Global"
"Foam Molds",8500.00,"China"
"Foam Packaging",2.50,"United States"
"Foam Rubber",8.00,"Global"
"Force Control",8.00,"Global"
"Force Touch Trackpad Assembly",18.00,"Taiwan"
"Formation Equipment",45.00,"Global"
"Forming Die",8.00,"Global"
"Foundry Pdk",35.00,"Global"
"Fpc Adhesive",8.00,"Global"
"Fpc Stiffener",8.00,"Global"
"Fpga Emulation",35.00,"Global"
"Friction Hinge Mechanism",3.50,"Taiwan"
"Friction Plates",8.00,"Global"
"Fuel Source (Coal/Natural Gas)",0.30,"Various"
"Fuel Transport",8.00,"Global"
"Fused Quartz Crucible",35.00,"Global"
"Fused Quartz Tube",8.00,"Global"
"Fused Silica (SiO₂)",0.30,"Belgium / USA / USA"
"Fusion Draw",8.00,"Global"
"Galena Ore (Lead Sulfide)",0.32,"Peru"
"Galvo Scanner",8.00,"Global"
"Gas Centrifuge",250000.00,"Netherlands / France"
"Gas Extraction",15.00,"Global"
"Gas Flow Systems",15.00,"Global"
"Gas Processing Plant",250000000.00,"Germany/USA"
"Gas Purification",15.00,"Global"
"Gas Scrubber",35.00,"Global"
"Gas Sweetening",35.00,"Global"
"Gas Turbine Blades",25000.00,"USA/UK"
"Geological Survey",2.50,"Taiwan"
"Git Software",0.00,"United States"
"GitHub",0.00,"United States"
"GitHub Pages Hosting",0.00,"United States"
"GitHub Repository",0.00,"United States"
"Glass Cloth",35.00,"Global"
"Glass Fiber",8.00,"Global"
"Glass Lined Reactor",80.00,"Global"
"Gnss Rf Frontend",35.00,"Global"
"Go Language",25.00,"United States"
"Gold Bond Wire",0.20,"Japan / Germany / USA"
"Gold Electroplating",1.50,"Belgium"
"Gold Electroplating Service",2.00,"United States"
"Gold Metal",0.15,"Canada / USA / South Africa"
"Gold Mining",0.95,"Nevada, USA"
"Gold Ore",45.00,"USA / Australia / South Africa"
"Gold Plating",8.00,"Global"
"Gold Smelter",450.00,"Global"
"Gps Antenna",35.00,"Global"
"Gps Chipset",2.50,"Taiwan"
"GPS/GNSS Module",5.00,"Switzerland"
"GPU Server",150000.00,"Global"
"Grafana Dashboard",3000.00,"United States"
"Graphite Anode Material",12.00,"China"
"Graphite Components",35.00,"Global"
"Graphite Electrodes",35.00,"Global"
"Graphite Purification",8.00,"Global"
"Graphite Susceptor",8.00,"Global"
"Grinding Mill",8.00,"Global"
"Ground Tester",8.00,"Global"
"Hall Heroult Cells",8.00,"Global"
"Hall Sensor",2.50,"Taiwan"
"Haptic Driver",2.50,"Taiwan"
"Haptic Feedback Engine",8.00,"Japan"
"Hardener",35.00,"Global"
"Hardware Verification Tool",15.00,"United States"
"Hcl Reactor",35.00,"Global"
"HDMI Port Connector",1.50,"United States"
"Heap Leaching",8.50,"Global"
"Heat Energy",0.08,"Various"
"Heat Exchanger",8.00,"Global"
"Heat Pipes",4.50,"Taiwan / Japan"
"Heat Recovery",35.00,"Global"
"Heat Recovery System",120.00,"Global"
"Heat Treatment Furnace",80.00,"Global"
"Heat Treatment Process",2.00,"United Kingdom"
"Heating Coils",8.00,"Global"
"Heating Elements",8.00,"Global"
"Heating Modules",8.00,"Global"
"Heating Stage",8.00,"Global"
"Heating System",45.00,"Global"
"Hepa Filters",8.00,"Global"
"HF Transformer",3.50,"Japan"
"High Resolution Optics",8.00,"Global"
"High Shear Mixer",8.00,"Global"
"High Voltage Accelerator",8.00,"Global"
"High Voltage Ceramic Insulators",850.00,"Japan/USA"
"High Voltage Drivers",8.00,"Global"
"Hinge Grease",8.00,"Global"
"Hinge Housing",8.00,"Global"
"Homogenization Furnace",80.00,"Global"
"Hot Runner",8.00,"Global"
"HTML (HyperText Markup Language)",0.00,"International"
"HTTP Protocol Standards",0.00,"Global"
"Hugo Static Site Generator",0.00,"International"
"Humidity Sensors",8.00,"Global"
"Hv Transformer",8.00,"Global"
"HVAC Cooling",150000.00,"France"
"Hvac System",45.00,"Global"
"Hydraulic Excavator",380.00,"Japan"
"Hydraulic Mining",15.00,"Global"
"Hydraulic Press",180.00,"Germany"
"Hydraulic System",45.00,"Global"
"Hydrochloric Acid",1.00,"USA / Germany"
"Hydrofluoric Acid (HF)",2.00,"USA / Belgium / Japan"
"Hydrogen Flame",35.00,"Global"
"Hydrogen Gas (H₂)",2.00,"USA / Germany / France"
"Hydrogen Peroxide (H₂O₂)",1.00,"Belgium / Germany / France"
"Hydroprocessing Catalyst",0.00,"Global"
"Hydrotreater",8.00,"Global"
"IC Device Programmer",15.00,"United States"
"IC Package Substrate",5.00,"Japan"
"IC Programming Socket",3.00,"Japan"
"Ic Testing",8.00,"Global"
"ICANN Domain Registry",10.00,"USA"
"Igzo Sputtering",8.00,"Global"
"Image Processing",0.00,"Global"
"Industrial Compressor",8.00,"Global"
"Industrial Cooling Water System",850000.00,"USA"
"Industrial Crusher",125.00,"Finland"
"Industrial Manufacturing Facility",500.00,"United States"
"Industrial Robot",35.00,"Japan"
"Industrial Solvent",6.00,"Global"
"Industrial Steam Boiler",8000000.00,"USA"
"Industrial Water Treatment",2.00,"France"
"Industrial Worker Training",2.00,"China"
"Injection Mold Tool",50.00,"Japan"
"Injection Molded Housing",0.50,"China"
"Injection Molding",8.00,"Global"
"Injection Molding Machine",4.00,"Germany"
"Injection Unit",8.00,"Global"
"Inspection Microscope",8.00,"Japan"
"Inspection Software",8.00,"Global"
"Instructor Wages",45.00,"Global"
"Insulated Chamber",8.00,"Global"
"Insulated Copper Wire",0.15,"Japan"
"Insulation Tester",8.00,"Global"
"Internet Connection",5.00,"United States"
"Iodine Dye",8.00,"Global"
"Ion Exchange Resin",8.00,"Global"
"Ion Implanter",10.00,"USA"
"Ir Filter",35.00,"Global"
"Iron Casting",35.00,"Global"
"Iron Ore",0.12,"Brazil"
"Iron Powder",8.00,"Global"
"ITO Coated Glass",8.00,"Japan"
"Ito Coating",8.00,"Global"
"Ito Target",35.00,"Global"
"JavaScript",0.00,"Switzerland"
"Jaw Crusher",115.00,"United States"
"Jig Concentrator",35.00,"Global"
"JTAG Debug Adapter",2.00,"Germany"
"Kevlar Fiber",30.00,"United States"
"Keyboard Assembly",15.00,"China"
"Keyboard Backlight LEDs",0.50,"Japan"
"Keyboard Flex Cable",1.20,"Japan"
"Keycaps",0.30,"Taiwan"
"Kiss Cutting Die",5.00,"Germany"
"Kneader",35.00,"Global"
"Kraft Paper",1.50,"United States"
"Label Printing Labor",12.00,"China"
"Lamination Equipment",45.00,"Global"
"Landing Station",5000000.00,"Various"
"Lapping Machine",45.00,"Global"
"Large Mining Excavator",1850.00,"Japan"
"Laser Drilled Acoustic Port",0.15,"United States"
"Laser System",45.00,"Global"
"Laser Welding System",120.00,"Germany"
"Laterite Mining",15.00,"Global"
"Layout Design",35.00,"Global"
"Lead Blast Furnace",450.00,"Global"
"Lead Concentrate",1.20,"Peru / Canada / Sweden"
"Lead Metal",2.50,"Switzerland / Belgium / USA / South Korea"
"Lead Shielding",8.00,"Global"
"Leakage Tester",8.00,"Global"
"LED Backlight Assembly",18.00,"Taiwan"
"LED Backlight Components",6.00,"South Korea"
"Led Driver",35.00,"Global"
"Led Lighting",8.00,"Global"
"Led Pcb",35.00,"Global"
"Led Pcb Strip",8.00,"Global"
"Lets Encrypt",35.00,"Global"
"Lib Validation",35.00,"Global"
"libuv Async I/O Library",0.00,"Global"
"Light Guide Plate",35.00,"Global"
"Limestone (CaCO₃)",0.01,"USA / USA / Germany"
"Line Safety Equipment",120.00,"Global"
"Linear Actuator",1.50,"Japan"
"Linear Actuators",35.00,"Global"
"Linear Guides",8.00,"Global"
"Lineman Training",45.00,"Global"
"Linux Operating System",0.00,"Global"
"Lipf6 Salt",8.00,"Global"
"Liquid Cooling",5000.00,"Canada"
"Liquid Crystal Material",0.50,"Germany"
"Lithium Battery Cathode Material",25.00,"China"
"Lithium Battery Electrolyte",8.00,"China"
